Row,Video,Time,Behaviour,Description
1,1,00:37:00,Participation - Officer invites citizen to speak / tell their side,[REDACTED]
2,1,00:40:00,Citizen Behaviour - Cooperative,[REDACTED]
3,1,00:46:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
4,1,00:46:00,Citizen Behaviour - Cooperative,[REDACTED]
5,1,00:47:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
6,1,00:48:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
7,1,00:48:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
8,1,00:52:00,Procedural Adherence - Identity (name / badge number provided),[REDACTED]
9,1,00:52:00,Procedural Adherence - Station (officer based at) shared,[REDACTED]
10,1,00:56:00,Procedural Adherence - Grounds explained,[REDACTED]
11,1,00:58:00,Procedural Adherence - Object of search stated,[REDACTED]
12,1,01:02:00,"Citizen Behaviour - De-escalation (e.g., apology, reassurance)",[REDACTED]
13,1,01:02:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
14,1,01:05:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
15,1,01:06:00,Procedural Adherence - Entitlement to record of search mentioned,[REDACTED]
16,1,01:08:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
17,1,01:10:00,Citizen Behaviour - Search conducted,[REDACTED]
18,1,01:12:00,"Procedural Adherence - Legal power cited (e.g., Section 1 of PACE)",[REDACTED]
19,1,01:22:00,"Citizen Behaviour - De-escalation (e.g., apology, reassurance)",[REDACTED]
20,1,01:23:00,Citizen Behaviour - Cooperative,[REDACTED]
21,1,01:23:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
22,1,01:24:00,Citizen Behaviour - Cooperative,[REDACTED]
23,1,01:50:00,Dignity & Respect - In S&S Handles citizens property/body respectfully,[REDACTED]
24,1,02:01:00,Participation - Allows third parties to speak,[REDACTED]
25,1,02:22:00,Maladaptive - Patronising / parental / rescuing,[REDACTED]
26,1,04:57:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
27,1,06:00:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
1,2,00:30:00,Maladaptive - Rigid / dogmatic / demanding,[REDACTED]
2,2,00:39:00,Procedural Adherence - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
3,2,00:40:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
4,2,00:44:00,Citizen Behaviour - Cooperative ,[REDACTED]
5,2,00:46:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
6,2,00:54:00,Maladaptive - Patronising / parental / rescuing,[REDACTED]
7,2,01:06:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
8,2,01:16:00,Procedural Adherence - Grounds explained,[REDACTED]
9,2,01:21:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
